Legal Name,Morningstar Category,ISIN,Sharpe Ratio 1 Yr,Sharpe Ratio 3 Yr,Standard Deviation 1 Yr,Standard Deviation 3 Yr,Standard Deviation 5 Yr,Annual Return 2021,Annual Return 2020,Annual Return 2019,Annual Return 2018,Annual Return 2017,1-Year SIP Return %,2-Year SIP Return %,3-Year SIP Return %,5-Year SIP Return %,AAA,Yield to Maturity,Modified Duration,% Assets in Top 10 Holdings,Total Number of Holdings,Turnover Ratio,Annual Report Net Expense  Ratio,Total Assets ?MM,Analyst Rating,Alpha 1 Yr,Alpha 3 Yr,Alpha 5 Yr,Beta 1 Yr,Beta 3 Yr,Beta 5 Yr,Deferred Load
Aditya Birla Sun Life Frontline Equity Fund (Trigger Facility) - Growth,India Fund Large-Cap,INF209K01KI9,0.02,0.67,13.61,21.96,18.90,27.90,14.22,7.64,-2.91,30.58,6.08,14.61,19.82,14.51,-,-,-,48.11,111,70.03,1.78,"2,15,343.75",Gold,-2.78,-1.29,-2.61,0.92,0.99,0.98,Multiple
Aditya Birla Sun Life Frontline Equity Fund Growth,India Fund Large-Cap,INF209K01BR9,0.02,0.67,13.61,21.96,18.90,27.90,14.22,7.64,-2.91,30.58,6.08,14.61,19.82,14.51,-,-,-,48.11,111,70.03,1.78,"2,15,343.75",Gold,-2.78,-1.29,-2.61,0.92,0.99,0.98,Multiple
Axis Bluechip Fund Growth,India Fund Large-Cap,INF846K01164,-0.43,0.63,15.38,19.04,16.57,20.64,19.72,18.57,6.54,38.03,0.59,8.42,13.98,13.65,-,-,-,57.37,48,61.45,1.74,"3,59,153.62",-,-9.89,-1.22,1.24,1.01,0.82,0.81,Multiple
Bank of India Bluechip Fund Regular Growth,India Fund Large-Cap,INF761K01FO7,-0.36,-,15.77,-,-,-,-,-,-,-,1.78,-,-,-,-,-,-,46.42,47,-,-,"1,338.46",-,-9.04,-,-,1.04,-,-,Multiple
Baroda BNP Paribas Large Cap Fund Regular Plan Growth,India Fund Large-Cap,INF251K01894,-0.01,0.71,12.81,18.68,16.51,22.08,16.84,17.18,-3.97,37.05,5.49,12.49,17.11,14.62,-,-,-,54.84,51,71.55,2.30,"13,255.35",-,-2.86,-0.26,-0.59,0.86,0.84,0.85,Multiple
Canara Robeco Bluechip Equity Fund Regular Plan Growth,India Fund Large-Cap,INF760K01AR3,-0.21,0.83,13.00,19.19,16.76,24.54,23.06,15.68,3.39,31.37,3.52,11.33,17.63,15.91,-,-,-,51.76,47,47.91,2.25,"75,918.63",-,-5.54,2.01,1.16,0.87,0.86,0.86,Multiple
DSP Top 100 Equity Fund Regular Plan Growth,India Fund Large-Cap,INF740K01243,-0.38,0.52,15.33,23.40,20.65,19.53,7.49,14.85,-2.72,26.48,5.41,9.73,14.23,11.14,-,-,-,61.14,38,55.73,2.13,"26,548.62",Neutral,-8.92,-4.45,-4.85,0.99,1.03,1.04,Multiple
Edelweiss Large Cap Fund B Growth,India Fund Large-Cap,INF754K01087,-0.12,0.65,13.71,21.15,18.53,23.38,17.31,11.52,1.68,33.84,5.10,12.24,17.60,14.14,-,-,-,49.84,73,132.02,2.48,"3,418.90",-,-4.66,-1.65,-0.85,0.93,0.95,0.96,Multiple
Edelweiss Large Cap Fund C Growth,India Fund Large-Cap,INF754K01129,-0.12,0.65,13.71,21.16,18.53,23.40,17.26,11.52,1.70,33.85,5.10,12.24,17.60,14.14,-,-,-,49.84,73,132.02,2.48,"3,418.90",-,-4.64,-1.65,-0.85,0.93,0.95,0.96,Multiple
Edelweiss Large Cap Fund Growth,India Fund Large-Cap,INF754K01046,-0.13,0.65,13.70,21.16,18.53,23.39,17.29,11.52,1.69,33.80,5.00,12.19,17.56,14.12,-,-,-,49.84,73,132.02,2.48,"3,418.90",-,-4.71,-1.67,-0.86,0.93,0.95,0.96,Multiple
