Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Industry PE,EPS
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,427,3954.02,20.28,20.38,27.65
AAVAS Financiers,541988,AAVAS,Finance - Housing,2039.7,16105.64,45.14,20.56,45.2
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,18191.45,38656.83,48.4,32.24,
ACC,500410,ACC,Cement - North India,2135.4,40100.09,23.09,17.99,
Acrysil,524091,ACRYSIL,Ceramics - Tiles / Sanitaryware,572.5,1528.28,23.6,23.6,
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,259.05,24306.56,,,-1.16
Advanced Enzyme,540025,ADVENZYMES,Chemicals,298.15,3333.51,27.88,23.06,10.7
Aegis Logistics,500003,AEGISCHEM,Trading,228.2,8009.82,22.4,38.39,
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1002.75,13361.75,62.47,26.37,10.57
AGI Greenpac,500187,AGI,Packaging,219.5,1420.11,7.35,12.21,
Agro Tech Foods.,500215,ATFL,Solvent Extraction,802.75,1956.3,85.5,37.49,10.61
AIA Engineering,532683,AIAENG,Castings & Forgings,2095.75,19767.19,31.9,18.98,
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,731.65,14381.54,27.61,23.78,
Alkyl Amines,506767,ALKYLAMINE,Chemicals,2645.15,13509.43,60.07,23.06,57.91
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,309.65,7607.96,8.64,19.11,
Amara Raja Batt.,500008,AMARAJABAT,Auto Ancillaries,494,8438.14,16.5,22.01,
Ambuja Cements,500425,AMBUJACEM,Cement - North India,365.15,72505.84,28.54,17.99,
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,3700.5,53207.51,61.89,26.8,
Asahi Industries,514482,,Textiles - Cotton/Blended,5.37,35.68,,6.23,
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,2708.75,259822.7,84.32,76.12,
Astral,532830,ASTRAL,Plastics Products,1647.95,33110.64,68.44,29.86,20.13
