Name,BSE Code,NSE Code,Industry,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,20.28,20.38,27.65,59.83,0.53
AAVAS Financiers,541988,AAVAS,Finance - Housing,45.14,20.56,45.2,39.2,2.85
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,48.4,32.24,,74.99,0.05
ACC,500410,ACC,Cement - North India,23.09,17.99,,54.53,0.01
Acrysil,524091,ACRYSIL,Ceramics - Tiles / Sanitaryware,23.6,23.6,,44.04,0.54
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,,,-1.16,56.09,1.48
Advanced Enzyme,540025,ADVENZYMES,Chemicals,27.88,23.06,10.7,52.7,0.03
Aegis Logistics,500003,AEGISCHEM,Trading,22.4,38.39,,58.07,0.38
Affle India,542752,AFFLE,Computers - Software - Medium / Small,62.47,26.37,10.57,59.89,0.13
AGI Greenpac,500187,AGI,Packaging,7.35,12.21,,60.24,0.84
Agro Tech Foods.,500215,ATFL,Solvent Extraction,85.5,37.49,10.61,51.77,0.11
AIA Engineering,532683,AIAENG,Castings & Forgings,31.9,18.98,,58.47,0
Alembic Pharma,533573,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,27.61,23.78,,69.61,0.12
Alkyl Amines,506767,ALKYLAMINE,Chemicals,60.07,23.06,57.91,72.03,0.02
Allcargo Logist.,532749,ALLCARGO,Miscellaneous,8.64,19.11,,69.92,0.73
Amara Raja Batt.,500008,AMARAJABAT,Auto Ancillaries,16.5,22.01,,28.06,0.03
Ambuja Cements,500425,AMBUJACEM,Cement - North India,28.54,17.99,,63.19,0.02
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,61.89,26.8,,29.33,0.72
Asahi Industries,514482,,Textiles - Cotton/Blended,,6.23,,48.5,
Asian Paints,500820,ASIANPAINT,Paints / Varnishes,84.32,76.12,,52.63,0.11
Astral,532830,ASTRAL,Plastics Products,68.44,29.86,20.13,55.73,0.04
