parameter_name,condition1,value1,result1,condition2,value2,result2
Price_to_Earning,NULL,NULL,NULL,NULL,NULL,NULL
Industry_PE,NULL,NULL,NULL,NULL,NULL,NULL
EPS,NULL,NULL,NULL,NULL,NULL,NULL
Promoter_holding,>,50,1,<,40,-1
Debt_to_equity,<,1,1,>,1,-1
Debtor_days,<,100,1,>,100,-1
Net_Profit_latest_quarter,>,500,1,<,300,-1
YOY_Quarterly_profit_growth,>,100,1,<,25,-1
Sales_latest_quarter,>,1000,1,<,500,-1
YOY_Quarterly_sales_growth,>,25,1,<,15,-1
ROCE3yr_avg,>,25,1,<,15,-1
Return_on_capital_employed,>,25,1,<,15,-1
OPM,>,20,1,<,15,-1
Profit_after_tax,>,500,1,<,200,-1
Sales,NULL,NULL,NULL,NULL,NULL,NULL
Sales_growth_3Years,>,9,1,<,6,-1
Sales_growth_5Years,>,9,1,<,6,-1
Profit_growth,>,50,1,<,40,-1
Profit_growth_3Years,>,50,1,<,40,-1
Profit_growth_5Years,>,50,1,<,40,-1
Profit_growth_7Years,>,20,1,<,15,-1
Profit_growth_10Years,>,20,1,<,15,-1
Average_return_on_equity_5Years,>,20,1,<,15,-1
Average_return_on_equity_3Years,>,20,1,<,15,-1
Return_on_equity,>,20,1,<,15,-1
Return_over_1year,>,20,1,<,15,-1
Return_over_3years,>,20,1,<,15,-1
Return_over_5years,>,20,1,<,15,-1
Return_on_assets,>,15,1,<,10,-1
Sales_growth,>,9,1,<,6,-1
Sales_preceding_year,>,5000,1,<,3000,-1
Sales_growth_7Years,>,9,1,<,6,-1
Operating_profit_preceding_year,NULL,NULL,NULL,NULL,NULL,NULL
Net_Profit_last_year,>,500,1,<,300,-1
Sales_growth_10Years,>,9,1,<,6,-1
Average_Earnings_5Year,>,100,1,<,50,-1
Free_cash_flow_last_year,>,1,1,NULL,NULL,NULL
Free_cash_flow_preceding_year,>,1,1,NULL,NULL,NULL
Net_cash_flow_preceding_year,>,1,1,NULL,NULL,NULL
Free_cash_flow_3years,>,500,1,<,200,-1
Average_return_on_capital_employed_3Years,>,20,1,<,15,-1
Average_return_on_capital_employed_5Years,>,20,1,<,15,-1
