,date_time,lable,user,parameter_name,condition1,value1,result1,condition2,value2,result2
0,2022-07-29 06:59:25.515317,admin,chetan,Price_to_Earning,,,,,,
1,2022-07-29 06:59:25.515317,admin,chetan,Industry_PE,,,,,,
2,2022-07-29 06:59:25.515317,admin,chetan,EPS,,,,,,
3,2022-07-29 06:59:25.515317,admin,chetan,Promoter_holding,>,50.0,1.0,<,40.0,-1.0
4,2022-07-29 06:59:25.515317,admin,chetan,Debt_to_equity,<,1.0,1.0,>,1.0,-1.0
5,2022-07-29 06:59:25.515317,admin,chetan,Debtor_days,<,100.0,1.0,>,100.0,-1.0
6,2022-07-29 06:59:25.515317,admin,chetan,Net_Profit_latest_quarter,>,500.0,1.0,<,300.0,-1.0
7,2022-07-29 06:59:25.515317,admin,chetan,YOY_Quarterly_profit_growth,>,100.0,1.0,<,25.0,-1.0
8,2022-07-29 06:59:25.515317,admin,chetan,Sales_latest_quarter,>,1000.0,1.0,<,500.0,-1.0
9,2022-07-29 06:59:25.515317,admin,chetan,YOY_Quarterly_sales_growth,>,25.0,1.0,<,15.0,-1.0
10,2022-07-29 06:59:25.515317,admin,chetan,ROCE3yr_avg,>,25.0,1.0,<,15.0,-1.0
11,2022-07-29 06:59:25.515317,admin,chetan,Return_on_capital_employed,>,25.0,1.0,<,15.0,-1.0
12,2022-07-29 06:59:25.515317,admin,chetan,OPM,>,20.0,1.0,<,15.0,-1.0
13,2022-07-29 06:59:25.515317,admin,chetan,Profit_after_tax,>,500.0,1.0,<,200.0,-1.0
14,2022-07-29 06:59:25.515317,admin,chetan,Sales,,,,,,
15,2022-07-29 06:59:25.515317,admin,chetan,Sales_growth_3Years,>,9.0,1.0,<,6.0,-1.0
16,2022-07-29 06:59:25.515317,admin,chetan,Sales_growth_5Years,>,9.0,1.0,<,6.0,-1.0
17,2022-07-29 06:59:25.515317,admin,chetan,Profit_growth,>,50.0,1.0,<,40.0,-1.0
18,2022-07-29 06:59:25.515317,admin,chetan,Profit_growth_3Years,>,50.0,1.0,<,40.0,-1.0
19,2022-07-29 06:59:25.515317,admin,chetan,Profit_growth_5Years,>,50.0,1.0,<,40.0,-1.0
20,2022-07-29 06:59:25.515317,admin,chetan,Profit_growth_7Years,>,20.0,1.0,<,15.0,-1.0
21,2022-07-29 06:59:25.515317,admin,chetan,Profit_growth_10Years,>,20.0,1.0,<,15.0,-1.0
22,2022-07-29 06:59:25.515317,admin,chetan,Average_return_on_equity_5Years,>,20.0,1.0,<,15.0,-1.0
23,2022-07-29 06:59:25.515317,admin,chetan,Average_return_on_equity_3Years,>,20.0,1.0,<,15.0,-1.0
24,2022-07-29 06:59:25.515317,admin,chetan,Return_on_equity,>,20.0,1.0,<,15.0,-1.0
25,2022-07-29 06:59:25.515317,admin,chetan,Return_over_1year,>,20.0,1.0,<,15.0,-1.0
26,2022-07-29 06:59:25.515317,admin,chetan,Return_over_3years,>,20.0,1.0,<,15.0,-1.0
27,2022-07-29 06:59:25.515317,admin,chetan,Return_over_5years,>,20.0,1.0,<,15.0,-1.0
28,2022-07-29 06:59:25.515317,admin,chetan,Return_on_assets,>,15.0,1.0,<,10.0,-1.0
29,2022-07-29 06:59:25.515317,admin,chetan,Sales_growth,>,9.0,1.0,<,6.0,-1.0
30,2022-07-29 06:59:25.515317,admin,chetan,Sales_preceding_year,>,5000.0,1.0,<,3000.0,-1.0
31,2022-07-29 06:59:25.515317,admin,chetan,Sales_growth_7Years,>,9.0,1.0,<,6.0,-1.0
32,2022-07-29 06:59:25.515317,admin,chetan,Operating_profit_preceding_year,,,,,,
33,2022-07-29 06:59:25.515317,admin,chetan,Net_Profit_last_year,>,500.0,1.0,<,300.0,-1.0
34,2022-07-29 06:59:25.515317,admin,chetan,Sales_growth_10Years,>,9.0,1.0,<,6.0,-1.0
35,2022-07-29 06:59:25.515317,admin,chetan,Average_Earnings_5Year,>,100.0,1.0,<,50.0,-1.0
36,2022-07-29 06:59:25.515317,admin,chetan,Free_cash_flow_last_year,>,1.0,1.0,,,
37,2022-07-29 06:59:25.515317,admin,chetan,Free_cash_flow_preceding_year,>,1.0,1.0,,,
38,2022-07-29 06:59:25.515317,admin,chetan,Net_cash_flow_preceding_year,>,1.0,1.0,,,
39,2022-07-29 06:59:25.515317,admin,chetan,Free_cash_flow_3years,>,500.0,1.0,<,200.0,-1.0
40,2022-07-29 06:59:25.515317,admin,chetan,Average_return_on_capital_employed_3Years,>,20.0,1.0,<,15.0,-1.0
41,2022-07-29 06:59:25.515317,admin,chetan,Average_return_on_capital_employed_5Years,>,20.0,1.0,<,15.0,-1.0
